05/25/2014 (00:19:08) -    INFO - Loading plugins...
05/25/2014 (00:19:09) -    INFO - World 'default' Booted.
05/25/2014 (00:19:09) -    INFO - 198 garbage objects collected, 0 were uncollected.
05/25/2014 (00:19:09) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:19:09) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:19:10) -    INFO - There are 0 users on the server
05/25/2014 (00:19:10) -    INFO - default: 
05/25/2014 (00:19:16) -    INFO - IRC client connected.
05/25/2014 (00:19:19) -    INFO - IRC client joined #hetal.
05/25/2014 (00:19:43) -    INFO - 192.168.31.206 is joining world worlds/default
05/25/2014 (00:19:43) -    INFO - (192.168.31.206:55565) Kicked '%s'; authentication failed
05/25/2014 (00:19:43) -    INFO - (192.168.31.206:55565) Sending error: Incorrect authentication, please try again.
05/25/2014 (00:19:43) -    INFO - (192.168.31.206:55565) Disconnected 'Hetal'
05/25/2014 (00:20:09) -    INFO - World 'default' has been saved.
05/25/2014 (00:20:11) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:20:12) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:20:12) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:20:12) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:20:12) -    INFO - There are 0 users on the server
05/25/2014 (00:20:12) -    INFO - default: 
05/25/2014 (00:20:18) -    INFO - <Hetal> wait
05/25/2014 (00:20:21) -    INFO - <Hetal> I'm coming on
05/25/2014 (00:20:52) -    INFO - <Maximum> Hetal+ joined the game.
05/25/2014 (00:21:09) -    INFO - World 'default' has been saved.
05/25/2014 (00:21:12) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:21:12) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:21:12) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:21:12) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:21:13) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:21:13) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:21:13) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:21:13) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:21:13) -    INFO - There are 0 users on the server
05/25/2014 (00:21:13) -    INFO - default: 
05/25/2014 (00:21:13) -    INFO - <Maximum> Hetal+ is AFK o.o
05/25/2014 (00:21:16) -    INFO - <Maximum> -Hetal+- is no longer AFK
05/25/2014 (00:21:22) -    INFO - <Maximum> Hetal+ is AFK is anyone even online?
05/25/2014 (00:21:36) -    INFO - <carversedge> mhm
05/25/2014 (00:22:01) -    INFO - <Maximum> si13nt_ki113r: As (I think) I said, I'm using a text only client...
05/25/2014 (00:22:04) -    INFO - <Maximum> -Hetal+- is no longer AFK
05/25/2014 (00:22:04) -    INFO - <Maximum> Hetal+: Ok
05/25/2014 (00:22:09) -    INFO - World 'default' has been saved.
05/25/2014 (00:22:13) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:13) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:13) -    INFO - <Maximum> Hetal+: Lee has 0 players lel
05/25/2014 (00:22:18) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:18) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:18) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:18) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:19) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:19) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:19) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:20) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:20) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:20) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:20) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:20) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:21) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:22:21) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:22:21) -    INFO - There are 0 users on the server
05/25/2014 (00:22:21) -    INFO - default: 
05/25/2014 (00:22:33) -    INFO - <Maximum> Hetal+: wait both are text only?
05/25/2014 (00:22:40) -    INFO - <Maximum> carversedge is AFK auto: Not moved for 5 minutes
05/25/2014 (00:22:54) -    INFO - <Maximum> -carversedge- is no longer AFK
05/25/2014 (00:22:55) -    INFO - <Maximum> carversedge: yup
05/25/2014 (00:23:01) -    INFO - <Maximum> the_evil_one44+ joined the game.
05/25/2014 (00:23:04) -    INFO - <Maximum> Hetal+: why not use WoM?
05/25/2014 (00:23:07) -    INFO - <Maximum> Hetal+: hey evil
05/25/2014 (00:23:09) -    INFO - World 'default' has been saved.
05/25/2014 (00:23:09) -    INFO - <Maximum> the_evil_one44+: hey
05/25/2014 (00:23:13) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:13) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:14) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:14) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:18) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:18) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:19) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:19) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:19) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:20) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:20) -    INFO - <Maximum> the_evil_one44+: who's the owner?
05/25/2014 (00:23:20) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:21) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:21) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:21) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:21) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:22) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:22) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:22) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:22) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:23) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:23) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:23) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:23) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:24) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:24) -    INFO - <Maximum> Paladinstrike: Max
05/25/2014 (00:23:24) -    INFO - <Maximum> Hetal+: well I'm the host
05/25/2014 (00:23:24) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
05/25/2014 (00:23:24) -    INFO - WoM Heartbeat Sent
05/25/2014 (00:23:24) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/2ce5d38f021b5db3fd5977f2bfabf3ec/
