04/23/2014 (02:24:49) -    INFO - Loading plugins...
04/23/2014 (02:24:50) -    INFO - World 'default' Booted.
04/23/2014 (02:24:50) -    INFO - 309 garbage objects collected, 0 were uncollected.
04/23/2014 (02:24:50) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:24:51) -    INFO - There are 0 users on the server
04/23/2014 (02:24:51) -    INFO - default: 
04/23/2014 (02:25:31) -    INFO - IRC client connected.
04/23/2014 (02:25:31) -    INFO - IRC client joined #hetal.
04/23/2014 (02:25:46) -    INFO - <Hetal> ane200055 the cloud actually rains...
04/23/2014 (02:25:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:25:50) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:25:51) -    INFO - There are 0 users on the server
04/23/2014 (02:25:51) -    INFO - default: 
04/23/2014 (02:26:05) -    INFO - <ane200055> as in irccloud be worse
04/23/2014 (02:26:10) -    INFO - <ane200055> (:
04/23/2014 (02:26:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:26:50) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:26:51) -    INFO - There are 0 users on the server
04/23/2014 (02:26:51) -    INFO - default: 
04/23/2014 (02:27:00) -    INFO - <ane200055> And I could've said "frosty" or "Olaf"
04/23/2014 (02:27:23) -    INFO - <Hetal> and i could've said /ban
04/23/2014 (02:27:38) -    INFO - <ane200055> But you cant
04/23/2014 (02:27:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:27:51) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:27:51) -    INFO - There are 0 users on the server
04/23/2014 (02:27:51) -    INFO - default: 
04/23/2014 (02:27:51) -    INFO - <Hetal> yea
04/23/2014 (02:27:57) -    INFO - <Hetal> "could've"
04/23/2014 (02:28:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:28:51) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:28:51) -    INFO - There are 0 users on the server
04/23/2014 (02:28:51) -    INFO - default: 
04/23/2014 (02:29:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:29:51) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:29:51) -    INFO - There are 0 users on the server
04/23/2014 (02:29:51) -    INFO - default: 
04/23/2014 (02:30:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:30:51) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:30:51) -    INFO - There are 0 users on the server
04/23/2014 (02:30:51) -    INFO - default: 
04/23/2014 (02:31:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:31:51) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:31:51) -    INFO - There are 0 users on the server
04/23/2014 (02:31:51) -    INFO - default: 
04/23/2014 (02:32:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:32:51) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:32:51) -    INFO - There are 0 users on the server
04/23/2014 (02:32:51) -    INFO - default: 
04/23/2014 (02:33:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:33:52) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:33:52) -    INFO - There are 0 users on the server
04/23/2014 (02:33:52) -    INFO - default: 
04/23/2014 (02:34:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:34:52) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:34:52) -    INFO - There are 0 users on the server
04/23/2014 (02:34:52) -    INFO - default: 
04/23/2014 (02:35:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:35:52) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:35:52) -    INFO - There are 0 users on the server
04/23/2014 (02:35:52) -    INFO - default: 
04/23/2014 (02:36:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:36:52) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:36:52) -    INFO - There are 0 users on the server
04/23/2014 (02:36:52) -    INFO - default: 
04/23/2014 (02:37:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:37:52) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:37:52) -    INFO - There are 0 users on the server
04/23/2014 (02:37:52) -    INFO - default: 
04/23/2014 (02:38:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:38:52) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:38:52) -    INFO - There are 0 users on the server
04/23/2014 (02:38:52) -    INFO - default: 
04/23/2014 (02:39:50) -    INFO - 2611 garbage objects collected, 0 were uncollected.
04/23/2014 (02:39:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:39:52) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:39:52) -    INFO - There are 0 users on the server
04/23/2014 (02:39:52) -    INFO - default: 
04/23/2014 (02:40:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:40:53) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:40:53) -    INFO - There are 0 users on the server
04/23/2014 (02:40:53) -    INFO - default: 
04/23/2014 (02:41:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:41:53) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:41:53) -    INFO - There are 0 users on the server
04/23/2014 (02:41:53) -    INFO - default: 
04/23/2014 (02:42:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:42:53) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:42:53) -    INFO - There are 0 users on the server
04/23/2014 (02:42:53) -    INFO - default: 
04/23/2014 (02:43:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:43:53) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:43:53) -    INFO - There are 0 users on the server
04/23/2014 (02:43:53) -    INFO - default: 
04/23/2014 (02:44:23) -    INFO - <ane200055> So Hetal, what did you do for IRCBot?
04/23/2014 (02:44:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:44:53) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:44:53) -    INFO - There are 0 users on the server
04/23/2014 (02:44:53) -    INFO - default: 
04/23/2014 (02:44:56) -    INFO - <Hetal> ane200055 : I did stuff, sent raw stuff
04/23/2014 (02:45:11) -    INFO - <ane200055> How?
04/23/2014 (02:45:24) -    INFO - <Hetal> um i forgot
04/23/2014 (02:45:30) -    INFO - <Hetal> my android has been bricked for 7 months now
04/23/2014 (02:45:40) -    INFO - <Hetal> parents still don't know
04/23/2014 (02:45:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:45:53) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:45:53) -    INFO - There are 0 users on the server
04/23/2014 (02:45:53) -    INFO - default: 
04/23/2014 (02:46:22) -    INFO - <ane200055> Tell them? .-.
04/23/2014 (02:46:29) -    INFO - <Hetal> They kill
04/23/2014 (02:46:36) -    INFO - <Hetal> they no give new android
04/23/2014 (02:46:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:46:54) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:46:54) -    INFO - There are 0 users on the server
04/23/2014 (02:46:54) -    INFO - default: 
04/23/2014 (02:47:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:47:54) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:47:54) -    INFO - There are 0 users on the server
04/23/2014 (02:47:54) -    INFO - default: 
04/23/2014 (02:48:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:48:54) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:48:54) -    INFO - There are 0 users on the server
04/23/2014 (02:48:54) -    INFO - default: 
04/23/2014 (02:49:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:49:54) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:49:54) -    INFO - There are 0 users on the server
04/23/2014 (02:49:54) -    INFO - default: 
04/23/2014 (02:50:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:50:54) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:50:54) -    INFO - There are 0 users on the server
04/23/2014 (02:50:54) -    INFO - default: 
04/23/2014 (02:51:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:51:55) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:51:55) -    INFO - There are 0 users on the server
04/23/2014 (02:51:55) -    INFO - default: 
04/23/2014 (02:52:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:52:55) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:52:55) -    INFO - There are 0 users on the server
04/23/2014 (02:52:55) -    INFO - default: 
04/23/2014 (02:53:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:53:55) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:53:55) -    INFO - There are 0 users on the server
04/23/2014 (02:53:55) -    INFO - default: 
04/23/2014 (02:54:50) -    INFO - 2790 garbage objects collected, 0 were uncollected.
04/23/2014 (02:54:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:54:55) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:54:55) -    INFO - There are 0 users on the server
04/23/2014 (02:54:55) -    INFO - default: 
04/23/2014 (02:55:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:55:55) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:55:55) -    INFO - There are 0 users on the server
04/23/2014 (02:55:55) -    INFO - default: 
04/23/2014 (02:56:03) -    INFO - <IRC> &eane200055 is now known as ane200055[Offline]
04/23/2014 (02:56:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:56:56) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:56:56) -    INFO - There are 0 users on the server
04/23/2014 (02:56:56) -    INFO - default: 
04/23/2014 (02:57:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:57:56) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:57:56) -    INFO - There are 0 users on the server
04/23/2014 (02:57:56) -    INFO - default: 
04/23/2014 (02:58:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:58:56) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:58:56) -    INFO - There are 0 users on the server
04/23/2014 (02:58:56) -    INFO - default: 
04/23/2014 (02:59:50) -    INFO - World 'default' has been saved.
04/23/2014 (02:59:56) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (02:59:56) -    INFO - There are 0 users on the server
04/23/2014 (02:59:56) -    INFO - default: 
04/23/2014 (03:00:50) -    INFO - World 'default' has been saved.
04/23/2014 (03:00:56) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (03:00:56) -    INFO - There are 0 users on the server
04/23/2014 (03:00:56) -    INFO - default: 
04/23/2014 (03:01:50) -    INFO - World 'default' has been saved.
04/23/2014 (03:01:56) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (03:01:56) -    INFO - There are 0 users on the server
04/23/2014 (03:01:56) -    INFO - default: 
04/23/2014 (03:02:50) -    INFO - World 'default' has been saved.
04/23/2014 (03:02:57) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (03:02:57) -    INFO - There are 0 users on the server
04/23/2014 (03:02:57) -    INFO - default: 
04/23/2014 (03:03:50) -    INFO - World 'default' has been saved.
04/23/2014 (03:03:57) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (03:03:57) -    INFO - There are 0 users on the server
04/23/2014 (03:03:57) -    INFO - default: 
04/23/2014 (03:04:50) -    INFO - World 'default' has been saved.
04/23/2014 (03:04:57) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (03:04:57) -    INFO - There are 0 users on the server
04/23/2014 (03:04:57) -    INFO - default: 
04/23/2014 (03:05:50) -    INFO - World 'default' has been saved.
04/23/2014 (03:05:57) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (03:05:57) -    INFO - There are 0 users on the server
04/23/2014 (03:05:57) -    INFO - default: 
04/23/2014 (03:06:50) -    INFO - World 'default' has been saved.
04/23/2014 (03:06:58) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/e420df2978ad45d304969826033b4b79/
04/23/2014 (03:06:58) -    INFO - There are 0 users on the server
04/23/2014 (03:06:58) -    INFO - default: 
04/23/2014 (03:07:50) -    INFO - World 'default' has been saved.
